Store Number,Address,City,State,Zip Code,Phone Number,Store Hours,Country,Latitude,Longitude,Geo Accuracy,Country Code,County
50,833 Cabela Drive,Augusta,GA,30909,(762) 444-6500,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,33.5262288,-82.0182016,STREET_ADDRESS: ROOFTOP,US,Richmond County
51,"1025 Woodruff Road, Suite H101",Greenville,SC,29607,(864) 516-8100,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,34.8325656,-82.3078907,SUBPREMISE: ROOFTOP,US,Greenville County
52,155 W 104th Ave,Anchorage,AK,99515,(907) 341-3400,"Monday - Friday: 8:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 8:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,61.1274110,-149.8814506,STREET_ADDRESS: ROOFTOP,US,Anchorage
53,1100 Christiana Mall,Newark,DE,19702,(302) 266-2300,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,39.6773275,-75.6522379,STREET_ADDRESS: ROOFTOP,US,New Castle County
54,8400 Hudson Road,Woodbury,MN,55125,(612) 255-0000,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,44.9404520,-92.9040790,POINT_OF_INTEREST: APPROXIMATE,US,Washington County
55,3650 Brooks Street,Missoula,MT,59801,(406) 203-5400,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 8:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,46.8376858,-114.0362426,STREET_ADDRESS: RANGE_INTERPOLATED,US,Missoula County
56,3030 W. Loop 289,Lubbock,TX,79407,(806) 472-4300,"Monday - Friday: 9:00AM - 9:00pm, Saturday: 9:00AM - 9:00pm, Sunday: 9:00AM - 7:00pm, Labor Day: 9:00AM - 6:00pm Holiday hours are subject to change & will appear above when applicable.",United States,33.5662471,-101.9477922,STREET_ADDRESS: ROOFTOP,US,Lubbock County
57,152 Northpoint Parkway,Acworth,GA,30102,(470) 315-7500,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,34.0811886,-84.6510530,STREET_ADDRESS: ROOFTOP,US,Cherokee County
58,2003 Walden Ave.,Cheektowaga,NY,14225,(716) 608-4770,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,42.9054949,-78.7627433,STREET_ADDRESS: ROOFTOP,US,Erie County
59,7555 SW Nyberg Street,Tualatin,OR,97062,(503) 822-2000,"Monday - Friday: 8:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 6:00PM, Labor Day: 8:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,45.3845352,-122.7541630,STREET_ADDRESS: ROOFTOP,US,Washington County
61,3395 Nell O'Bryan Court,Bowling Green,KY,42103,(270) 936-8300,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,36.9407774,-86.4171084,ROUTE: GEOMETRIC_CENTER,US,Warren County
62,1000 Cabela Drive,Fort Mill,SC,29708,(980) 337-2600,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,35.0992288,-80.9330510,STREET_ADDRESS: ROOFTOP,US,York County
63,44 Highland Common,Hudson,MA,01749,(978) 212-6200,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 9:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,42.3944755,-71.5950164,STREET_ADDRESS: RANGE_INTERPOLATED,US,Middlesex County
64,201 Cabela Drive,Garner,NC,27529,(984) 204-2200,"Monday - Friday: 8:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 8:00PM, Labor Day: 8:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,35.6971770,-78.5831559,ROUTE: GEOMETRIC_CENTER,US,Wake County
65,1350 Cabela Drive,Sun Prairie,WI,53590,(608) 478-4100,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 9:00AM - 9:00PM, Sunday: 9:00AM - 6:00PM, August 15: 8:00AM - 9:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,43.1912263,-89.1896430,POSTAL_CODE: APPROXIMATE,US,
66,3693 S. 25th E.,Ammon,ID,83406,(208) 932-2900,"Monday - Friday: 9:00AM - 9:00PM, Saturday: 8:00AM - 9:00PM, Sunday: 10:00AM - 6:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,43.4265851,-111.9044611,POSTAL_CODE: APPROXIMATE,US,
67,350 Cobb Parkway,Ringgold,GA,30736,(706) 956-2800,"Monday - Saturday: 9:00AM - 9:00PM, Sunday: 10:00AM - 7:00PM, Labor Day: 9:00AM - 6:00PM Holiday hours are subject to change & will appear above when applicable.",United States,34.9706452,-85.1947933,ROUTE: GEOMETRIC_CENTER,US,Catoosa County
