Store Number,Store Name,Store Location,Address,City,State,Zip Code,Phone Number,Latitude,Longitude
33,Brandywine,Brandywine Towne Center,1000 Brandywine Parkway,Wilmington,DE,19803,(302) 477-9577,39.8312,-75.5406
34,Christiana,Christiana Center,100 Center Drive,Newark,DE,19702,(302) 738-8322,39.6744,-75.6525
35,Springfield,Riverdale Shopping Center,1081 Riverdale Street,West Springfield,MA,01089,(413) 781-6155,42.1329,-72.6226
37,Mishawaka,Princess City Plaza,4520 Grape Road,Mishawaka,IN,46545,(574) 243-4789,41.7009,-86.184
38,Mechanicsburg,Hampden Commons,5950 Carlisle Pike/Us Rt 11,Mechanicsburg,PA,17050,(717) 766-8377,40.2404,-76.9906
39,Harrisburg,Colonial Commons,5086 Jonestown Rd,Harrisburg,PA,17112,(717) 652-3174,40.3122,-76.8058
42,Robinson,Robinson Town Centre,5000 Robinson Centre Drive,Pittsburgh,PA,15205,(412) 787-1330,40.4532,-80.1564
48,Holland,Spring Meadow,1407 Spring Meadow Drive,Holland,OH,43528,(419) 867-0810,41.6156,-83.696
49,North Toledo,North Towne Commons,851 West Alexis Rd,Toledo,OH,43612,(419) 269-2262,41.719,-83.5654
50,Rockford,Rockford Shopping Center,6380 E. State Street,Rockford,IL,61108,(815) 397-7115,42.2704,-88.9924
63,Fairlawn,Market Square At Montrose,4036 Medina Road,Akron,OH,44333,(330) 668-1231,41.1357,-81.6418
64,Canton,Belden Parke Crossings,5544 N.W. Dressler Road,Canton,OH,44720,(330) 966-0990,40.8613,-81.4322
65,Highland Heights,Builder's Square,6235 Wilson Mills Road,Highland Heights,OH,44143,(440) 449-9199,41.539,-81.4517
66,Mansfield,Ontario Towne Center,2235 Walker Lake Road,Ontario,OH,44903,(419) 747-2727,40.7878,-82.5952
70,Florence,Turfway Crossing,"1336 Hansel Avenue, Suite 200",Florence,KY,41042,(859) 283-2702,39.018565,-84.637604
71,Eastgate,Eastgate Pavilion,650 Eastgate South Drive,Cincinnati,OH,45245,(513) 752-5525,39.0952,-84.2755
72,Springdale,Tri-County Commons,975 E. Kemper Road,Springdale,OH,45246,(513) 671-0707,39.2846,-84.4543
73,Kenwood,Sycamore Plaza At Kenwood,7800 Montgomery Road,Cincinnati,OH,45236,(513) 793-1033,39.1977,-84.3783
74,Western Hills,Western Hills Market Place,5555 Glenway Avenue,Cincinnati,OH,45238,(513) 347-7570,39.1321,-84.6118
76,White Marsh,Nottingham Square,5220 Campbell Blvd.,Baltimore,MD,21236,(410) 933-0134,39.3718,-76.4527
77,Hunt Valley,Hunt Valley Towne Plaza,118 Shawan Road,Cockeysville,MD,21030,(410) 584-9050,39.4988,-76.6532
78,Columbia,Columbia Crossing,6221 Columbia Crossing Circle,Columbia,MD,21045,(410) 872-1100,39.1984,-76.8164
79,Bel Air,Macphail Crossing East,540 West Macphail Road,Bel Air,MD,21014,(410) 638-7404,39.5238,-76.3463
80,Franklin Mills,Liberty Plaza,20 Franklin Mills Blvd.,Philadelphia,PA,19154,(215) 637-3230,40.0855,-74.9675
81,Oxford Valley,Court At Oxford Valley,150 Commerce Blvd.,Fairless Hills,PA,19030,(215) 946-8750,40.1807,-74.8697
82,Moorestown,East Gate Square,1300 Nixon Drive,Mt Laurel,NJ,08054,(856) 802-1225,39.9397,-74.9594
83,Downingtown,Brandywine Square,1026 E. Lancaster Avenue,Downingtown,PA,19335,(610) 518-5200,40.0162,-75.6796
85,Atlantic City,Wrangleborough Consumer Square,210 Consumer Square,Mays Landing,NJ,08330,(609) 407-1711,39.4509,-74.6295
86,Deptford,Deptford,399 Almonesson Road,Deptford,NJ,08096,(856) 384-8533,39.8301,-75.1026
87,Burlington,Towne Crossing Shopping Center,"2703 Rt. 541, Suite 4",Burlington Twp,NJ,08016,(609) 747-0400,40.0369,-74.8233
88,Troy,Oakland Square,400 John R. Road,Troy,MI,48083,(248) 577-2879,42.5377,-83.1047
89,Taylor,Taylor Retail Center,23349 Eureka Road,Taylor,MI,48180,(734) 374-0429,42.1951,-83.2594
90,Lansing,Eastwood Towne Center,2801 Preyde Blvd,Lansing,MI,48912,(517) 702-1300,42.7624,-84.5141
92,Utica,North Pointe Center,45230 Northpointe Blvd,Utica,MI,48315,(586) 254-2653,42.6296,-82.9986
93,Rochester Hills,Winchester Center,I290 S. Rochester Road,Rochester Hills,MI,48307,(248) 608-9696,42.6624,-83.1363
94,Saginaw,West Valley Shopping Center,3343 Tittabawassee Road,Saginaw,MI,48604,(989) 793-3346,43.4774,-83.9821
96,Novi,Highpoint Shopping Center,21061 Haggerty Road,Novi,MI,48375,(248) 735-8180,42.4406,-83.4374
97,Altoona,Logan Town Center,149 Falon Lane,Altoona,PA,16602,(814) 941-2273,40.487,-78.3841
98,Willow Grove,Plaza At Willow Grove,2510 Moreland Rd,Willow Grove,PA,19090,(215) 657-8977,40.1423,-75.1207
99,Plymouth Meeting,The Metroplex,2430 Chemical Road,Plymouth Meeting,PA,19462,(610) 260-4400,40.1056,-75.2936
102,Midlothian,Chesterfield Plaza,1520 W. Koger Center Blvd,North Chesterfield,VA,23235,(804) 897-5299,37.515,-77.6109
104,Davenport,Elmore Plaza,5250 Elmore Avenue,Davenport,IA,52807,(563) 441-7500,41.5722,-90.5309
105,Princeton,Nassau Park Pavilion,530 Nassau Park Blvd,Princeton,NJ,08540,(609) 419-1661,40.3059,-74.6796
106,Elyria,Midway Market Square,360 Market Dr,Elyria,OH,44035,(440) 324-4100,41.3907,-82.1101
107,Hagerstown,Hagerstown,17780 Garland Groh Blvd,Hagerstown,MD,21740,(240) 420-0140,39.6563,-77.7524
108,South Charleston,The Shoppes Of Trace Fork Plaza,51 R H L Blvd,South Charleston,WV,25309,(304) 746-6256,38.3357,-81.7116
109,Appleton,Appleton,4350 Greenville Drive,Appleton,WI,54913,(920) 954-9266,44.2751,-88.4718
110,Greensburg,Hempfield Pointe Plaza,"Rr 17, Box 18",Greensburg,PA,15601,(724) 522-9777,40.3106,-79.5965
111,Fort Wayne,Apple Glen Crossing,1520 Apple Glen Blvd.,Fort Wayne,IN,46804,(260) 434-0181,41.0713,-85.2034
112,State College,The Colonnade At State College,325 Lowes Blvd,State College,PA,16803,(814) 861-1350,40.8125,-77.9073
113,Colerain,Colerain Town Center,10220 Colerain Ave,Cincinnati,OH,45251,(513) 741-0800,39.2612,-84.599
114,Glen Allen,The Creeks,9940 Brook Road,Glen Allen,VA,23059,(804) 261-1853,37.6704,-77.4647
115,Independence,Bolger Square,17730 E. 39Th Street,Independence,MO,64055,(816) 350-0089,39.051,-94.3707
116,Ward Parkway,Ward Parkway Center,"8600 Ward Parkway, Suite 2002",Kansas City,MO,64114,(816) 363-1198,38.97,-94.606
117,Olathe,Northridge Plaza,15280 W. 119Th Street,Olathe,KS,66062,(913) 254-9196,38.915,-94.7621
118,Kansas City,Zona Rosa,8665 Nw Prairie View Road,Kansas City,MO,64153,(816) 436-3524,39.2514,-94.661
119,Merriam,Merriam Towne Center,5600 Antioch Road,Merriam,KS,66202,(913) 432-3945,39.0277,-94.6891
121,Bainbridge,Bainbridge Shopping Center,7305 Marketplace Drive,Aurora,OH,44202,(330) 562-4200,41.3495,-81.3881
123,Lynchburg,Ward's Crossing,4026-C Wards Road,Lynchburg,VA,24502,(434) 832-5666,37.3473,-79.191
124,Champaign,Pine Tree Plaza,2113 North Prospect Avenue,Champaign,IL,61822,(217) 352-4173,40.1416,-88.2606
125,Knoxville,The Commons,221 North Peters Road,Knoxville,TN,37923,(865) 531-2221,35.9152,-84.084
126,Chattanooga,Hamilton Village,"2020 Gunbarrel Road, Sutie 182",Chattanooga,TN,37421,(423) 892-3122,35.0317,-85.1505
127,Roanoke,Valley View Mall,1910 Valley View Blvd Nw,Roanoke,VA,24012,(540) 265-0861,37.3071,-79.9619
128,Short Pump,Short Pump Town Center,"11800 W Broad Street, Suite 1096",Richmond,VA,23233,(804) 360-8165,37.6573,-77.6189
129,Homestead,The Waterfront,350 East Waterfront Drive,Homestead,PA,15120,(412) 476-9940,40.4101,-79.9111
130,Evansville,Evansville Pavilion,"6601 E Lloyd Expressway, Suite 2",Evansville,IN,47715,(812) 402-9100,37.9744,-87.4701
131,Racine,Southland Center,2710-B South Green Bay Road,Mount Pleasant,WI,53406,(262) 554-8117,42.7002,-87.8556
132,Topeka,Home Depot Extension,5900 Sw Huntoon Street,Topeka,KS,66604,(785) 271-5398,39.0459,-95.759
133,Wichita,Towne West Center,4600 W. Kellogg Drive,Wichita,KS,67209,(316) 942-0910,37.678,-97.4014
134,Lee's Summit,Summit Woods Crossing,1600 Nw Chipman Road,Lee's Summit,MO,64081,(816) 525-3006,38.9308,-94.4074
135,Wichita,Tall Grass Center,2057 N. Rock Road,Wichita,KS,67206,(316) 682-6811,37.7211,-97.2468
138,Bloomington,Bloomington,200 N. Greenbriar Drive,Normal,IL,61761,(309) 454-1602,40.5129,-88.9514
139,Omaha,Oakview Plaza South,3125 Oakview Drive,Omaha,NE,68144,(402) 330-1184,41.2279,-96.1297
141,Charlottesville,Rio Hill Shopping Center,1940 Rio Hill Center,Charlottesville,VA,22901,(434) 974-5640,38.0883,-78.4748
142,Manassas,Bull Run Plaza,10800 Sudley Manor Drive,Manassas,VA,20109,(703) 257-4300,38.7877,-77.5177
143,Waldorf,St. Charles Towne Center,11080 Mall Circle Road,Waldorf,MD,20603,(301) 885-1762,38.6184,-76.9242
144,Clarksburg,Meadowbrook Mall,"2399 Meadowbrook Mall, Unit #10",Bridgeport,WV,26330,(304) 848-0482,39.3154,-80.274
145,Lynnhaven,Lynnhaven Mall,"701 Lynnhaven Parkway, Suite 1001",Virginia Beach,VA,23452,(757) 463-4379,36.8183,-76.0698
146,Huntington,Huntington Mall,"Rt 60 Mall Road, Unit 500",Huntington,WV,25504,(304) 733-9720,38.4228,-82.2679
147,Fredericksburg,Spotsylvania Mall,"137 Spotsylvania Mall, Unit 290",Fredericksburg,VA,22407,(540) 548-1200,38.2928,-77.5115
148,East Brunswick,East Brunswick,325 State Route 18,East Brunswick,NJ,08816,(732) 651-3284,40.4555,-74.4021
150,Williston,Maple Tree Place,1355 Maple Tree Place,Williston,VT,05495,(802) 288-9854,44.4429,-73.1113
151,Worcester,Lincoln Plaza,541E Lincoln Street,Worcester,MA,01605,(508) 595-9808,42.2929,-71.7706
153,Waterford,Waterford Commons,"915 Hartford Turnpike, #A1",Waterford,CT,06385,(860) 447-2886,41.3829,-72.1522
154,Kingston,Hudson Valley Mall,"1300 Ulster Ave., Suite 127",Kingston,NY,12401,(845) 382-2151,41.9678,-73.9849
156,Ithaca,Pyramid Mall,40 Catherwood Road,Ithaca,NY,14850,(607) 257-5077,42.4821,-76.4898
157,East Hanover,East Hanover,240 Route 10 West,East Hanover,NJ,07936,(973) 428-0889,40.8092,-74.3722
158,Watertown,Salmon Run Mall,21143 Salmon Run Loop West,Watertown,NY,13601,(315) 786-8681,43.9793,-75.9531
159,Plattsburgh,Champlain Centre North,60 Smithfield Blvd,Plattsburgh,NY,12901,(518) 562-1121,44.7031,-73.4906
160,North Attleboro,Attleboro Marketplace,1360 South Washington Street,North Attleboro,MA,02760,(508) 699-8475,41.9381,-71.3453
161,Warwick,Warwick Centre,1350 East Bald Hill Road,Warwick,RI,02886,(401) 823-8079,41.7013,-71.4931
162,Millbury,The Shoppes At Blackstone Valley,"70 Worchester Providence Turnpike, Suite 200",Millbury,MA,01527,(508) 865-7250,42.1954,-71.7781
163,Smithfield,The Crossing At Smithfield,"371 Putnam Pike, Suite 300",Smithfield,RI,02917,(401) 232-0051,41.875,-71.5168
164,Glens Falls,Aviation Mall,"578 Aviation Road, Space D-103",Queensbury,NY,12804,(518) 743-8790,43.3263,-73.6789
165,Portland,Portland,385 Gorham Road,South Portland,ME,04106,(207) 828-4950,43.6375,-70.3318
166,Seekonk,Seekonk,275 Highland Ave,Seekonk,MA,02771,(508) 336-3004,41.7972,-71.3327
168,Enfield,State Line Plaza,130 Elm Street,Enfield,CT,06082,(860) 253-9475,41.9949,-72.5756
169,Meriden,Westfield Shoppingtown Meriden,470 Lewis Avenue,Meriden,CT,06451,(203) 686-0462,41.5512,-72.8101
170,Westlake,Crocker Park,300 Crocker Park Blvd,Westlake,OH,44145,(440) 835-3723,41.4592,-81.9543
171,Allentown,Allentown,2631 Macarther Road,Whitehall,PA,18052,(610) 231-0691,40.647,-75.4908
173,Mason,Deerfield Town Center,5700 Deerfield Boulevard,Mason,OH,45040,(513) 770-4070,39.3088,-84.3165
174,Niles,Romar Plaza,5809 Youngstown-Warren Road,Niles,OH,44446,(330) 505-9233,41.2099,-80.7465
175,Plymouth,The Plaza At Colony Place,205 Colony Place,Plymouth,MA,02360,(508) 746-6932,41.9531,-70.7172
176,Hadley,Hampshire Mall,367 Russell Street,Hadley,MA,01035,(413) 584-6934,42.3565,-72.5487
177,East Madison,East Towne Mall,350 East Towne Mall,Madison,WI,53704,(608) 241-2764,43.1258,-89.3034
178,West Madison,West Towne Mall,237 West Towne Mall,Madison,WI,53719,(608) 829-1313,43.0563,-89.5076
179,Springfield,White Oaks Mall,2501 W. Wabash Avenue,Springfield,IL,62704,(217) 726-6451,39.766,-89.7031
180,Avon,Avon Commons,10375 East Us Highway 36,Avon,IN,46123,(317) 271-7850,39.7605,-86.339
181,Greenwood,Greenwood Mall,1251 Us 31 North,Greenwood,IN,46142,(317) 882-1079,39.6316,-86.119
183,Carmel,Clay Terrace,14350 Clay Terrace Blvd.,Carmel,IN,46032,(317) 818-3467,39.9963,-86.1312
184,Washington,Washington Square,10202 E Washington Street,Washington,IN,46229,(317) 890-8802,39.7784,-85.9847
185,Plainville,Connecticut Commons,280 New Britain Avenue,Plainville,CT,06062,(860) 747-2102,41.6732,-72.84
186,Leominster,Orchard Hill Park,56 Orchard Hill Park Drive,Leominster,MA,01453,(978) 537-4081,42.5254,-71.7147
187,Lexington,Fayette Mall,3645 Nicholasville Road,Lexington,KY,40503,(859) 273-1642,37.987,-84.5302
188,Pittsburgh Mills,Galleria At Pittsburgh Mills,329 Pittsburgh Mills Circle,Tarentum,PA,15084,(724) 274-0240,40.5726,-79.7933
190,Spartanburg,Westgate Plaza,"205 West Blackstock Road, Suite 960",Spartanburg,SC,29301,(864) 595-9455,34.9395,-81.9944
191,Myrtle Beach,Mall Of South Carolina,600 Costal Grand Circle,Myrtle Beach,SC,29577,(843) 916-9148,33.7029,-78.9242
193,Strongsville,Westfield Shoppingtown South Park,17071 Southpark Center,Strongsville,OH,44136,(440) 268-9153,41.3079,-81.8184
195,Webster,Towne Center At Webster,1062 Ridge Road,Webster,NY,14580,(585) 872-1080,43.2111,-77.4492
196,Rockaway,Rockaway Plaza,387 Mount Hope Avenue,Rockaway,NJ,07866,(973) 659-1950,40.9067,-74.5597
198,Fayetteville,Fayetteville Pavilion,2051 Skibo Road,Fayetteville,NC,28314,(910) 867-8566,35.0543,-78.9699
199,Winston Salem,Hanes Mall,164 Hanes Mall Circle,Winston Salem,NC,27103,(336) 659-3557,36.0663,-80.304
200,University,The Village At University Place,8809 Jw Clay Blvd.,University,NC,28262,(704) 295-4411,35.3127,-80.7549
201,Cary,Crossroad Plaza,401 Crossroads Blvd,Cary,NC,27518,(919) 851-7721,35.7622,-78.7359
202,Wilmington,,816 South College Road,Wilmington,NC,28403,(910) 793-1904,34.221,-77.8857
203,Hickory,Hickory Ridge,1860 Catawba Valley Blvd. Se,Hickory,NC,28602,(828) 431-3025,35.7008,-81.3101
204,Columbia,Columbiana Station Shopping Center,1110 Bower Parkway,Columbia,SC,29212,(803) 749-0756,34.068,-81.1594
205,Asheville,River Hills Shopping Center,107 A River Hills Road,Asheville,NC,28805,(828) 299-0077,35.5749,-82.5212
206,Greensboro,Wendover Place Shopping Center,1208-A Bridford Parkway,Greensboro,NC,27407,(336) 856-8875,36.0587,-79.9075
207,Durham,New Hope Commons,5422 New Hope Commons Drive,Durham,NC,27707,(919) 493-9884,35.9565,-78.9956
208,Raleigh,Triangle Town Center,3630 Sumner Blvd,Raleigh,NC,27616,(919) 792-9090,35.8627,-78.5762
209,Raleigh,Brier Creek Commons,"8021 Brier Creek Parkway, Suite 100",Raleigh,NC,27617,(919) 806-5153,35.91,-78.7806
211,Huntsville,Westside Center,"6275 University Dr, Suite 16",Huntsville,AL,35806,(256) 922-9912,34.7411,-86.6808
212,Florence,Cox Creek Centre,376 Cox Creek Parkway,Florence,AL,35630,(256) 760-4211,34.8424,-87.6354
213,Matthews,Sycamore Commons,"10530 Ne Parkway, Suite J",Matthews,NC,28105,(704) 841-3959,35.1303,-80.7004
214,Pineville,Pineville,9600 Pineville-Matthews Road,Pineville,NC,28134,(704) 540-4750,35.088,-80.8803
215,Huntersville,Birkdale Village,8825 Townley Road,Huntersville,NC,28078,(704) 896-6244,35.445,-80.878
216,Mooresville,Winslow Bay Commons,590 J. River Highway,Mooresville,NC,28117,(704) 662-9066,35.5981,-80.8698
217,Garner,White Oak Crossing,145 Shenstone Blvd,Garner,NC,27529,(919) 662-4177,35.6945,-78.5804
218,Charlotte,Northlake Mall,6445 Northlake Mall Drive,Charlotte,NC,28216,(704) 598-2577,35.3526,-80.8524
219,Canton,Shoppes At Farmington Valley,110 Albany Turnpike,Canton,CT,06019,(860) 693-1619,41.8212,-72.8805
220,Greenville,The Shops At Greenridge,1125 Woodruff Road,Greenville,SC,29607,(864) 284-6199,34.83,-82.2998
221,Charleston,Citadel Mall,2070 Sam Rittenburg Blvd.,Charleston,SC,29407,(843) 573-0891,32.8013,-80.0307
222,Keene,Monadnock Marketplace,42 Ash Brook Road,Keene,NH,03431,(603) 357-0861,42.9282,-72.3028
223,Bangor,Bangor Mall,641 Stillwater Avenue,Bangor,ME,04401,(207) 990-5932,44.8302,-68.7493
224,Pittsfield,Pittsfield,635 Merrill Road,Pittsfield,MA,01201,(413) 395-0870,42.465,-73.2067
225,Lafayette,Tippecanoe Mall,2415 Sagamore Parkway South,Lafayette,IN,47905,(765) 449-0914,40.3928,-86.85
226,Bloomington,College Mall,2850 E. 3Rd Street,Bloomington,IN,47401,(812) 335-1377,39.1604,-86.4959
228,Fort Wayne,Fort Wayne,256-309 Coliseum Blvd.,Fort Wayne,IN,46805,(260) 470-4224,41.1198,-85.138
229,Pottstown,Coventry Mall,Route 724 And Route 100,Pottstown,PA,19465,(610) 323-7100,40.2368,-75.6609
230,Easton,The Village At Southmont Center,4423 Birkland Place,Easton,PA,18045,(610) 330-0383,40.6575,-75.2865
232,Toledo,Westfield Shoppingtown Franklin Park,5001 Monroe Street,Toledo,OH,43623,(419) 474-0170,41.693,-83.6417
233,Steubenville,Fort Steuben Mall,100 Mall Drive,Steubenville,OH,43952,(740) 266-6323,40.3668,-80.671
234,Newington,The Crossings At Foxrun,45 Gosling Road,Portsmouth,NH,03801,(603) 431-8036,43.0937,-70.8025
235,Jacksonville,St Johns Town Center,10390 Midtown Parkway,Jacksonville,FL,32246,(904) 642-4299,30.2568,-81.5245
236,Brockton,Westgate Mall,435 Westgate Drive,Brockton,MA,02301,(508) 559-9290,42.0947,-71.0556
237,North Dartmouth,Dartmouth Commons,475 State Road,Dartmouth,MA,02747,(508) 999-1617,41.6387,-71.0025
238,Saugus,Square One Mall,1201 Broadway,Saugus,MA,01906,(781) 233-0476,42.4613,-71.0289
240,Muskegon,The Lakes Mall,5660 S Harvey Parkway,Muskegon,MI,49444,(231) 798-8003,43.1493,-86.2017
241,Hamilton,Bridgewater Falls,3363 Princeton Road,Hamilton,OH,45011,(513) 892-4302,39.3888,-84.5047
242,West Mifflin,Century Iii Mall,"3075 Clairton Road, Space 800",West Mifflin,PA,15123,(412) 650-0132,40.3369,-79.943
243,Morgantown,University Towne Centre,596 Giant Street,Granville,WV,26501,(304) 598-0554,39.6487,-80.0041
244,Augusta,The Marketplace At Augusta,"80 Stephen King Drive, Suite 2",Augusta,ME,04330,(207) 622-3987,44.349,-69.7852
245,Taunton,Silver City Galleria,2 Galleria Mall Drive,Taunton,MA,02780,(508) 823-8132,41.8631,-71.0529
247,Newport News,Patrick Henry Mall,12300 Jefferson Avenue,Newport News,VA,23602,(757) 249-2140,37.1135,-76.4955
248,Butler,Clearview Mall,1521 N. Main Street,Butler,PA,16001,(724) 284-8140,40.898,-79.9054
252,Westmoreland,Westmoreland Mall,5289 Route 30,Greensburg,PA,15601,(724) 853-1752,40.2975,-79.5061
253,Rutland,Green Mountain Plaza,320 Us Route 7 South,Rutland,VT,05701,(802) 773-2710,43.5852,-72.9706
254,Larkridge,Larkridge Shopping Center,16521 Washington Street,Thornton,CO,80023,(303) 280-6153,39.9959,-104.982
255,Natick,Sherwood Plaza,1336 Worchester Street,Natick,MA,01760,(508) 653-0908,42.2987,-71.3919
256,Merrillville,Westfield Shoppingtown Southlake,2225 Southlake Mall,Merrillville,IN,46410,(219) 791-0610,41.4676,-87.3092
258,Loveland,Promenade Shops At Centerra,5875 Sky Pond Drive,Loveland,CO,80537,(970) 461-9762,40.4157,-104.991
259,Polaris,The Market At Polaris,1180 Polaris Parkway,Columbus,OH,43240,(614) 985-4729,40.1454,-82.9875
260,Cherry Hill,Market Place At Garden State Park,2130 Route 70 West,Cherry Hill,NJ,08002,(856) 317-8394,39.9234,-75.0366
262,Lake Grove,Smith Haven Mall,620 Smith Haven Mall,Lake Grove,NY,11755,(631) 265-2987,40.8642,-73.1338
263,Orange Park,Orange Park Mall,1910 Wells Road,Orange Park,FL,32073,(904) 215-0207,30.1847,-81.7332
264,Melbourne,Melbourne Square,1700 W. New Haven Avenue,Melbourne,FL,32904,(321) 984-4012,28.0806,-80.6508
265,Burnsville,Burnsville Center,"901 County Road 42 West, B-200",Burnsville,MN,55306,(952) 898-0743,44.7449,-93.289
266,Arlington Heights,Town & Country Shopping Center,401 E. Palatine Road,Arlington Heights,IL,60004,(847) 577-1283,42.1078,-87.9769
267,Bloomingdale,Bloomingdale Court,328 West Army Trail Road,Bloomingdale,IL,60108,(630) 351-0823,41.9367,-88.1053
269,Newnan,The Village At Newnan Crossing,382 Newnan Crossing Bypass,Newnan,GA,30265,(770) 253-1501,33.3871,-84.7638
271,Concord,Patriot Place,295 Loudon Road,Concord,NH,03301,(603) 224-1564,43.227,-71.4866
272,Brick,Brick 70 Plaza,487 Route 70,Brick,NJ,08723,(732) 477-4844,40.055,-74.1549
273,Cedar Rapids,Market Place,4601 1St Avenue Se,Cedar Rapids,IA,52402,(319) 743-3066,42.0235,-91.6218
274,York,York Town Center,2925 Concord Road,York,PA,17402,(717) 751-4450,39.9845,-76.6673
275,Apex,Beaver Creek Crossings,1531 Beaver Creek Commons Drive,Apex,NC,27502,(919) 367-0194,35.7448,-78.8858
276,Mcdonough,Southpoint,1855 Jonesboro Road,Mcdonough,GA,30253,(770) 957-4336,33.4632,-84.218
277,Williamsport,Lycoming Mall,300 Lyncoming Mall Circle,Williamsport,PA,17756,(570) 546-2625,41.239,-76.8259
278,Beavercreek,Mall At Fairfield Commons,"2727 Fairfield Commons, Unit 6",Beavercreek,OH,45431,(937) 426-2955,39.7663,-84.0567
279,Plainfield,Metropolis Plainfield,339 Metropolis Mile,Plainfield,IN,46168,(317) 839-4803,39.7125,-86.3575
280,Clarksville,River Falls Mall,951 E Lewis & Clark Parkway,Clarksville,IN,47129,(812) 288-2194,38.3187,-85.7602
282,Milford,Westfield Shoppington Center,1201 Boston Post Road,Milford,CT,06460,(203) 876-0477,41.2343,-73.0382
283,Dulles,Dulles Town Center,21070 Dulles Town Circle,Dulles,VA,20166,(571) 434-0046,39.032,-77.4225
284,Mt. Juliet,Providence Market Place,"401 South Mt. Juliet Road, Suite 605",Mt. Juliet,TN,37122,(615) 773-6160,36.1679,-86.5076
285,Cool Springs,Cool Springs Market,"2000 Malory Lane, Suite 270",Franklin,TN,37067,(615) 778-0595,35.9493,-86.8155
287,Brandon,Brandon Town Center,901 Brandon Towne Center Mall,Brandon,FL,33511,(813) 684-3100,27.9328,-82.3274
288,Citrus Park,Westfield Citrus Park,8100 Citrus Park Town Center,Tampa,FL,33625,(813) 920-5700,28.0694,-82.5783
289,Nashville,Nashville West,6812 Charlotte Pike,Nashville,TN,37209,(615) 354-0102,36.1355,-86.8912
290,Bailey's Crossroads,Crossroads Center,5716 Columbia Pike,Bailey's Crossroads,VA,22041,(703) 933-0736,38.8522,-77.1278
291,Grove City,Parkway Centre,1656 Stringtown Road,Grove City,OH,43123,(614) 801-1033,39.8807,-83.0396
293,Mchenry,Mchenry Square,3436 Shoppers Drive,Mchenry,IL,60051,(815) 578-8880,42.3675,-88.2652
294,Brighton,Green Oak Village Place,9550 Village Place Blvd,Brighton,MI,48116,(810) 225-4849,42.5068,-83.7523
295,Buckland Hills,The Pavilions At Buckland Hills,179 Pavillion Drive,Manchester,CT,06042,(860) 648-4044,41.8067,-72.5471
296,Huntington,Melville Mall,870 Walt Whitman Road,Melville,NY,11747,(631) 421-3028,40.7992,-73.4096
298,Littleton,Southwest Plaza,8501 West Bowles Avenue,Littleton,CO,80123,(720) 981-0618,39.6131,-105.095
