"IDs","Gender","Age","Latino","Race","Income","Marital","zip","city","state","latitude","longitude"
"CIPGHKZ6TT92",2,56,TRUE,4,1,"Single",NA,NA,NA,NA,NA
"CIPGHKZVTHD9",2,28,FALSE,2,5,"Single","10580","Rye","NY",40.976579,-73.69002
"CIPGHKYR34W6",1,66,TRUE,2,5,"Married","99148","Loon Lake","WA",48.102048,-117.6013
"CIPGHKZY3Q70",2,23,FALSE,5,1,"Married","95974","Richvale","CA",39.496465,-121.74712
"CIPGHKZ72B64",2,52,FALSE,5,6,"Single","83281","Swanlake","ID",42.305798,-111.96206
"CIPGHKZYBZB8",1,66,FALSE,5,7,"Married","95669","Plymouth","CA",38.480569,-120.86895
"CIPGHL2HR9N3",2,52,FALSE,4,5,"Married","57790","Wall","SD",44.018548,-102.23778
"CIPGHL2JZH42",2,67,FALSE,5,1,"Single","42459","Sturgis","KY",37.558719,-87.99632
"CIPGHKZXMD97",1,52,FALSE,5,7,"Married","85063","Phoenix","AZ",33.276539,-112.18717
"CIPGHL2ZS8T2",2,71,FALSE,5,4,"Single","22046","Falls Church","VA",38.886311,-77.18098
"CIPGHL335C50",2,38,FALSE,5,7,"Single","14856","Kanona","NY",42.374218,-77.364812
"CIPGHL3X36H3",2,71,FALSE,5,4,"Single","31141","Atlanta","GA",33.891251,-84.07456
"CIPGHL3YF8V3",1,26,FALSE,5,1,"Married","58421","Carrington","ND",47.450049,-99.08527
"CIPGHL3YX234",2,52,FALSE,5,5,"Single","89148","Las Vegas","NV",36.049095,-115.28485
"CIPGHL4TMF95",1,44,FALSE,5,5,"Single","18703","Wilkes Barre","PA",41.242081,-75.88569
"CIPGHL4W5SN5",2,66,FALSE,5,5,"Single","38551","Celina","TN",36.547412,-85.48904
"CIPGHL5R8R78",2,38,FALSE,2,6,"Single","61235","Atkinson","IL",41.409646,-90.01821
"CIPGHL4TDQM2",1,35,FALSE,5,5,"Single","92571","Perris","CA",33.822068,-117.21514
"CIPGHL6PK3Y4",1,44,FALSE,5,1,"Married","46626","South Bend","IN",41.677397,-86.252506
"CIPGHL6NC4M5",1,71,TRUE,3,5,"Single","43307","Marion","OH",40.56941,-83.139341
"CIPGHL6PB8Z5",2,35,FALSE,3,6,"Married","05444","Cambridge","VT",44.645649,-72.90151
"CIPGHL6NZTL8",1,37,TRUE,5,2,"Married","58497","Ypsilanti","ND",46.770483,-98.56496
"CIPGHL6N8MR3",1,45,FALSE,5,5,"Married","17237","Mont Alto","PA",39.840491,-77.55239
"CIPGHLCTM840",1,32,FALSE,3,5,"Single","60516","Downers Grove","IL",41.761463,-88.01334
"CIPGHLLTNLP2",2,56,TRUE,5,6,"Married","67650","Morland","KS",39.359896,-100.08518
"CIPGHLLSS6Y8",2,64,FALSE,2,5,"Single","25186","Smithers","WV",38.176382,-81.30575
"CIPGHLNP5H27",1,31,FALSE,5,3,"Married","47907","West Lafayette","IN",40.424923,-86.916215
"CIPGHLLSLH22",2,61,FALSE,1,6,"Single","71831","Columbus","AR",33.793524,-93.807007
"CIPGHLPGR9B4",2,63,FALSE,3,5,"Married","23875","Prince George","VA",37.235949,-77.30259
"CIPGHLPGPFB2",1,61,TRUE,5,1,"Married","98649","Toutle","WA",46.352771,-122.66054
"CIPGHLSP32H0",2,41,TRUE,5,5,"Single","04862","Union","ME",44.240765,-69.27048
"CIPGHLSP7SM7",1,32,TRUE,4,7,"Married","46406","Gary","IN",41.589135,-87.40962
"CIPGHLSP2X85",1,26,TRUE,5,4,"Single","78596","Weslaco","TX",26.162609,-97.98512
"CIPGHM6PGQZ4",2,54,TRUE,2,6,"Married","12183","Troy","NY",42.743289,-73.69482
"CIPGHM6RMRS7",1,32,FALSE,1,3,"Single","37688","Shady Valley","TN",36.529827,-81.91718
"CIPGHM6XHJ75",2,54,FALSE,5,1,"Single","58456","Kulm","ND",46.270766,-98.93292
"CIPGHM6XVC82",2,44,FALSE,5,5,"Single","26641","Wilsie","WV",38.690755,-80.90285
"CIPGHM83C3S7",2,23,FALSE,5,4,"Married","90277","Redondo Beach","CA",33.828815,-118.38322
"CIPGHM84RBR4",2,64,FALSE,4,5,"Married","18850","Ulster","PA",41.849392,-76.5021
"CIPGHM83TJR1",1,52,FALSE,5,7,"Single","71770","Waldo","AR",33.34937,-93.31176
"CIPGHM83KJC9",1,34,FALSE,5,7,"Single","86444","Meadview","AZ",35.950442,-114.07783
"CIPGHM84V3T6",1,57,FALSE,3,5,"Single","73092","Verden","OK",35.109275,-98.08247
"CIPGHM866871",2,44,FALSE,5,5,"Married","59405","Great Falls","MT",47.476152,-111.26909
"CIPGHKY5RBV9",2,57,FALSE,5,2,"Single","98593","Vader","WA",46.40521,-122.9827
"CIPGHMB96TS3",1,66,FALSE,5,6,"Single","33406","West Palm Beach","FL",26.659294,-80.09118
"CIPGHMB9W3C3",1,66,FALSE,5,4,"Married","71339","Hamburg","LA",31.024614,-91.92715
"CIPGHMCXDZS5",1,38,FALSE,5,1,"Single","27209","Biscoe","NC",35.354158,-79.76839
"CIPGHMR5SQT0",2,32,FALSE,5,7,"Single","63961","Qulin","MO",36.58479,-90.25221
"CIPGHMYJTQW4",1,44,FALSE,5,1,"Single","48093","Warren","MI",42.514885,-82.99768
"CIPGHMYP3S85",2,41,FALSE,5,7,"Married","97145","Tolovana Park","OR",45.868839,-123.95909
"CIPGHMZ6TRB4",2,52,FALSE,4,5,"Married","14622","Rochester","NY",43.21543,-77.55638
"CIPGHNFN23P1",1,56,TRUE,5,3,"Married","35634","Florence","AL",34.888897,-87.60731
"CIPG44LBFQS1",1,38,FALSE,5,4,"Married","12913","Bloomingdale","NY",44.421547,-73.99256
"CIPGHNFLQ2Y3",1,57,FALSE,4,4,"Single","54418","Bryant","WI",45.221567,-88.96427
"CIPGHNRDRMH3",1,35,FALSE,2,6,"Married","80977","Colorado Springs","CO",38.82469,-104.562027
"CIPGHNRDNTY0",2,39,FALSE,1,5,"Single","63874","Risco","MO",36.550379,-89.81874
"CIPGHNPBYYN9",2,41,TRUE,3,6,"Single","47949","Hillsboro","IN",40.072123,-87.13698
"CIPGHNPC5CN2",1,23,TRUE,5,1,"Single","65048","Koeltztown","MO",38.364291,-92.00546
"CIPGHNXRJJR7",2,61,FALSE,5,5,"Married","29481","Smoaks","SC",33.105834,-80.81066
"CIPGHNRH35Y1",2,66,FALSE,5,5,"Married","30212","Experiment","GA",33.278205,-84.288803
"CIPGHNYV9461",2,61,TRUE,5,3,"Married","77554","Galveston","TX",29.221289,-94.94455
"CIPGHPP9N9Q6",2,26,FALSE,5,1,"Married","20577","Washington","DC",38.900758,-77.034455
"CIPGHPPBRDY2",1,39,FALSE,5,2,"Single","98586","South Bend","WA",46.560786,-123.85214
"CIPGHPPFXNM8",1,56,TRUE,5,2,"Single","20391","Washington","DC",38.893311,-77.014647
"CIPGHPPHD5H2",1,44,TRUE,5,1,"Married","28202","Charlotte","NC",35.227192,-80.84419
"CIPGHPPH5RB4",1,63,FALSE,5,5,"Married","60549","Serena","IL",41.490329,-88.74998
"CIPGHPPFWRL8",1,34,FALSE,4,4,"Single","54425","Dorchester","WI",45.006072,-90.33146
"453310517",1,38,TRUE,5,7,"Married","62446","Mount Erie","IL",38.48679,-88.21636
"CIPGHQCHM9C5",1,32,FALSE,3,2,"Single","27288","Eden","NC",36.505996,-79.74935
"CIPGHQCF3LR2",1,61,FALSE,2,4,"Single","20552","Washington","DC",38.893311,-77.014647
"CIPGHQCHWR90",2,56,FALSE,5,4,"Single","66050","Lecompton","KS",39.025994,-95.43138
"453310543",2,52,FALSE,4,4,"Single","97067","Welches","OR",45.333824,-121.95765
"CIPGHQCPYCT8",2,74,FALSE,5,7,"Single","20904","Silver Spring","MD",39.069108,-76.97834
"CIPGHQCPVDR7",2,28,FALSE,5,4,"Single","90068","Los Angeles","CA",34.122058,-118.3379
"453310583",1,31,TRUE,5,5,"Single","61436","Gilson","IL",40.859964,-90.22212
"453310588",1,66,FALSE,2,5,"Single","77082","Houston","TX",29.722704,-95.6314
"453310592",1,32,FALSE,5,1,"Single","17256","Shady Grove","PA",39.783391,-77.674851
"CIPGHQCV36J3",1,67,FALSE,5,2,"Single","15627","Derry","PA",40.339547,-79.30172
"CIPGHQCRJN81",2,63,TRUE,3,5,"Single","95208","Stockton","CA",37.889849,-121.253872
"CIPGHQD2HFZ6",1,38,FALSE,5,7,"Married","15616","Armbrust","PA",40.360223,-79.439801
"453310669",2,23,TRUE,4,5,"Married","32355","Saint Marks","FL",30.162414,-84.20923
"CIPGHLSPRMT7",2,45,FALSE,4,2,"Married","95776","Woodland","CA",38.681254,-121.74189
"453310820",2,56,TRUE,5,5,"Single","59057","Molt","MT",45.846359,-108.95391
"453310936",2,58,FALSE,5,6,"Single","15715","Big Run","PA",40.969945,-78.87784
"453311025",2,23,FALSE,5,4,"Single","08010","Beverly","NJ",40.058211,-74.91404
"CIPGHRMZVCZ1",1,66,FALSE,5,3,"Married","52132","Calmar","IA",43.194235,-91.89585
"CIPGHSRPF5R3",1,58,FALSE,5,7,"Single","85341","Lukeville","AZ",31.970131,-111.890713
"CIPGHSRQ5XL2",2,37,TRUE,2,2,"Married","27203","Asheboro","NC",35.686122,-79.82919
"CIPGHSPGC852",1,52,FALSE,5,4,"Single","13606","Adams Center","NY",43.871728,-76.00793
"CIPGHSPGJ395",1,42,TRUE,2,6,"Married","73502","Lawton","OK",34.630879,-98.457646
"CIPGHSRT6HH1",1,54,FALSE,4,5,"Single","72441","McDougal","AR",36.437727,-90.38816
"CIPGHSRYBQ85",1,29,FALSE,5,4,"Single","15068","New Kensington","PA",40.571108,-79.74226
"CIPGHSS2KNZ0",2,38,TRUE,5,3,"Married","90049","Los Angeles","CA",34.067409,-118.47528
"CIPGHSS93QC5",1,28,FALSE,5,6,"Married","99761","Noatak","AK",67.572031,-162.97508
"CIPGHST6S2X1",2,37,FALSE,2,5,"Single","07102","Newark","NJ",40.735257,-74.17326
"CIPGHST7FSH4",2,38,FALSE,3,6,"Single","60150","Malta","IL",41.933061,-88.88293
"CIPGHSTY4F57",2,34,FALSE,2,3,"Married","47982","State Line","IN",40.196628,-87.5271
"CIPGHSTZJWS4",2,66,TRUE,5,4,"Married","72010","Bald Knob","AR",35.321261,-91.54989
"CIPGHSV343L6",1,34,FALSE,5,2,"Married","65473","Fort Leonard Wood","MO",37.737264,-92.12685
"CIPGHSV2QZS4",2,52,FALSE,5,7,"Single","44040","Gates Mills","OH",41.532584,-81.41052
"CIPGHSV5DS21",2,61,FALSE,5,5,"Married","49616","Benzonia","MI",44.592766,-86.08323
"CIPGHT33BN71",1,34,TRUE,2,5,"Single","30317","Atlanta","GA",33.750005,-84.31854
"CIPGHT5VQJ58",2,67,FALSE,2,6,"Single","92067","Rancho Santa Fe","CA",33.016492,-117.20264
"CIPGHT5WFSF6",2,39,FALSE,5,7,"Married","32708","Winter Springs","FL",28.683408,-81.28151
"CIPGHT6PLKZ7",1,66,TRUE,2,4,"Single","19404","Norristown","PA",40.211896,-75.35586
"CIPGHT6PW4V7",2,23,TRUE,5,3,"Single","21203","Baltimore","MD",39.284707,-76.620489
"CIPGHT6PYVD4",1,63,TRUE,5,1,"Married",NA,NA,NA,NA,NA
"CIPGHT6PNZV6",2,41,FALSE,5,7,"Married","26285","Norton","WV",38.934414,-79.96518
"CIPGHT6Q25P2",2,61,TRUE,5,5,"Single","73075","Pauls Valley","OK",34.741677,-97.22846
"CIPGHT6PRCD9",1,56,FALSE,5,6,"Married","41096","Washington","KY",38.61225,-83.808021
"CIPGHT6QRH69",2,54,TRUE,5,4,"Married","25844","Glen Daniel","WV",37.802995,-81.36495
"CIPGHT2STCT7",1,66,FALSE,5,1,"Single","48098","Troy","MI",42.599133,-83.15235
"CIPGHT6WNWM0",1,52,FALSE,5,3,"Married","55325","Dassel","MN",45.091115,-94.31758
"CIPGHT6X2RD9",2,56,TRUE,3,7,"Single","25816","Blue Jay","WV",37.735161,-81.136328
"CIPGHT6XWDK4",2,38,FALSE,5,5,"Single","96034","Gazelle","CA",41.441194,-122.64688
"CIPGHT6ZR8C1",1,52,FALSE,5,2,"Single","59721","Cardwell","MT",45.849728,-111.86233
"CIPGHT6ZFW44",1,66,FALSE,4,4,"Single","76122","Fort Worth","TX",32.771419,-97.291484
"CIPGHT72PXY7",2,66,FALSE,5,1,"Married","74830","Bowlegs","OK",35.147566,-96.6696
"CIPGHTNS5ZM3",2,45,FALSE,5,5,"Single","22850","Singers Glen","VA",38.553225,-78.92206
"CIPGHTQ6PV63",2,56,FALSE,5,6,"Single","10527","Granite Springs","NY",41.319026,-73.7576
"CIPGHTQ7TRM2",1,45,FALSE,2,4,"Single","64144","Kansas City","MO",39.282869,-94.408998
"CIPGHV73YNN8",2,23,FALSE,3,6,"Married","59041","Joliet","MT",45.505519,-108.92119
"CIPGHVR33CS4",2,33,FALSE,5,4,"Single","77512","Alvin","TX",29.362879,-95.27605
"CIPGHVR2R730",2,32,FALSE,2,1,"Single","04267","North Waterford","ME",44.566156,-70.661557
"CIPGHVR7MXP2",1,52,TRUE,2,5,"Married","08055","Medford","NJ",39.865272,-74.8185
"CIPGHVRCM3P7",2,32,FALSE,5,2,"Married","49746","Hillman","MI",45.068394,-83.96071
"CIPGHVRFYJ68",1,58,FALSE,5,7,"Married","44807","Attica","OH",41.069216,-82.87708
"CIPGHVPG9WV4",1,38,FALSE,3,5,"Married","95560","Redway","CA",40.131417,-123.85855
"CIPGHVRLLVX8",2,42,FALSE,5,6,"Married","57049","North Sioux City","SD",42.524771,-96.49955
"CIPGHVJXSF86",1,71,FALSE,5,7,"Married","63044","Bridgeton","MO",38.757318,-90.42335
"CIPGHVQ5MKS1",1,58,FALSE,5,2,"Single","91934","Jacumba","CA",32.624424,-116.17025
"CIPGHWFRZ6M0",2,38,FALSE,3,7,"Married","06857","Norwalk","CT",41.308873,-73.363661
"CIPGHWFFF8F4",2,57,TRUE,5,5,"Married","98941","Roslyn","WA",47.224876,-120.99286
"CIPGHWFRWZP3",2,41,TRUE,4,7,"Single","47012","Brookville","IN",39.43115,-84.99568
"CIPGHWFTKL79",1,56,FALSE,3,5,"Single","98626","Kelso","WA",46.150433,-122.88566
"CIPGHWRLCVN5",2,52,TRUE,5,5,"Married","88587","El Paso","TX",31.694842,-106.299987
"CIPGHWRVR4V4",2,71,FALSE,5,1,"Single","54227","Maribel","WI",44.27809,-87.79026
"CIPGHWRNXYW0",2,61,FALSE,5,4,"Single","08042","Juliustown","NJ",40.018503,-74.66656
"CIPGHWHQHTR4",2,56,FALSE,5,5,"Married","98225","Bellingham","WA",48.747578,-122.48508
"CIPGHWFSV4N7",1,66,FALSE,2,4,"Married","33784","Saint Petersburg","FL",27.891809,-82.724763
"CIPGHWHRQKB4",1,33,FALSE,5,5,"Married","29301","Spartanburg","SC",34.940921,-81.98682
"CIPGHWHR8MF4",2,37,FALSE,5,1,"Married","18083","Stockertown","PA",40.754064,-75.26477
"CIPGHWR83NZ1",1,44,FALSE,5,4,"Single","99036","Valleyford","WA",47.52507,-117.27054
"CIPGHXW8HFY7",2,33,FALSE,5,7,"Single","31811","Hamilton","GA",32.722333,-84.95803
"CIPGHXWFSDC6",2,34,FALSE,5,4,"Single","35971","Fyffe","AL",34.457657,-85.92772
"CIPGHYDQF5X2",2,26,FALSE,5,6,"Married","81020","Aguilar","CO",37.400041,-104.66016
"CIPGHYDTQWP8",2,35,FALSE,5,4,"Married","44272","Rootstown","OH",41.09464,-81.19784
"CIPGHYF4N5B6",1,51,FALSE,5,6,"Single","04736","Caribou","ME",46.878869,-68.01128
"CIPGHYF6SRX0",1,56,FALSE,5,6,"Single","59453","Judith Gap","MT",46.678858,-109.64119
"CIPGHYSLZ3L3",2,67,TRUE,5,5,"Single","54004","Clayton","WI",45.319095,-92.13016
"CIPGHYSW8695",2,52,FALSE,5,1,"Married","99012","Fairfield","WA",47.383651,-117.18568
"CIPGHYV5XRQ3",2,54,FALSE,5,6,"Married","52583","Promise City","IA",40.801913,-93.14736
"CIPGHYV6P4C7",2,31,FALSE,5,1,"Single","42642","Russell Springs","KY",37.05401,-85.06142
"CIPGHYVJVQ86",2,51,FALSE,5,5,"Single","13426","Orwell","NY",43.562757,-75.996773
"CIPGHYW2RYW9",2,45,TRUE,5,5,"Single","76028","Burleson","TX",32.535841,-97.30681
"CIPGHYW27DQ4",2,64,FALSE,5,7,"Single","12243","Albany","NY",42.614852,-73.970812
"CIPGHYWX7RP3",2,52,FALSE,5,6,"Married","23316","Cheriton","VA",37.284061,-75.96909
"CIPGHYX9FFP5",2,41,FALSE,5,6,"Single","54434","Jump River","WI",45.206757,-90.484132
"CIPGHYXH4S40",2,61,FALSE,5,5,"Married","63758","Kelso","MO",37.189843,-89.549
"CIPGHYXZT6Q8",2,32,TRUE,5,3,"Married","93389","Bakersfield","CA",35.294405,-118.905173
"CIPGHYY3F9H9",2,45,TRUE,1,1,"Single","53119","Eagle","WI",42.881035,-88.47117
"CIPGHYY446X6",2,51,FALSE,5,5,"Single","70722","Clinton","LA",30.823174,-90.921
"CIPGHYY5SQ39",2,41,TRUE,5,6,"Married","40598","Lexington","KY",38.05,-84.5
"CIPGHYZ58CR4",2,29,FALSE,3,1,"Married","43534","McClure","OH",41.368743,-83.93422
"CIPGHYZ997S7",2,44,TRUE,2,4,"Single","45662","Portsmouth","OH",38.762824,-82.94294
"CIPGHYZ9QP20",1,41,TRUE,5,2,"Single",NA,NA,NA,NA,NA
"CIPGHYZFWDX9",2,28,TRUE,5,5,"Single","71951","Hot Springs National Park","AR",34.581374,-93.099403
"CIPGHYZMZTM2",2,37,TRUE,2,4,"Single","90232","Culver City","CA",34.021611,-118.39168
"CIPGHYZNB8Y4",1,52,FALSE,5,4,"Married","79093","Waka","TX",36.280101,-101.04673
"CIPGHYZTDB71",2,34,FALSE,5,7,"Married","91101","Pasadena","CA",34.146607,-118.1391
"CIPGHZ78QJP5",2,51,FALSE,5,6,"Single","35291","Birmingham","AL",33.544622,-86.929208
"CIPGHZ78Z785",2,35,FALSE,5,5,"Single","57239","Grenville","SD",45.489637,-97.3198
"CIPGHZ7B6LF6",2,61,FALSE,2,5,"Married","67642","Hill City","KS",39.360338,-99.8456
"CIPGHZ7FH5P0",2,67,TRUE,5,6,"Single","61862","Penfield","IL",40.296282,-87.95553
"CIPGHZ7RPXV5",2,37,FALSE,5,5,"Married","28223","Charlotte","NC",35.305552,-80.73303
"CIPGHZ7H2TM7",2,61,FALSE,3,5,"Married","41226","Keaton","KY",37.992794,-82.94551
"CIPGHZ7HXR36",1,38,FALSE,5,2,"Single","79225","Chillicothe","TX",34.261752,-99.5202
"CIPGHZ7KF652",2,32,FALSE,5,4,"Single","48628","Hope","MI",43.807162,-84.33789
"CIPGHZ7H8SX3",1,26,FALSE,5,6,"Single","78645","Leander","TX",30.453776,-97.97507
"CIPGHZ7NMMJ9",2,32,FALSE,5,4,"Single","31416","Savannah","GA",32.005255,-81.047711
"CIPGHZ7SYVQ7",2,54,FALSE,5,3,"Single","10707","Tuckahoe","NY",40.958689,-73.82363
"CIPGHZ7TNDF8",2,52,FALSE,5,7,"Married","35407","Tuscaloosa","AL",33.306606,-87.453224
"CIPGHZ7YB599",1,63,FALSE,3,6,"Married","18063","Martins Creek","PA",40.781918,-75.18589
"CIPGHZBT89L0",1,35,TRUE,3,1,"Single","78075","Whitsett","TX",28.633209,-98.27924
"CIPGHZCXNSV3",2,31,FALSE,5,1,"Single","45678","Scottown","OH",38.615111,-82.38004
"CIPGHZ7W2RH4",2,23,TRUE,2,4,"Single","38756","Leland","MS",33.407212,-90.87866
"CIPGHZDDM9M8",2,67,FALSE,3,3,"Married","84153","Salt Lake City","UT",40.668068,-111.908297
"CIPGHZDDCKV1",1,56,FALSE,5,7,"Single","78142","Normanna","TX",28.52604,-97.78256
"CIPGHZDJC3F2",2,52,TRUE,5,4,"Married","51025","Holstein","IA",42.496494,-95.55529
"CIPGHZDKF7D5",2,71,FALSE,1,3,"Single","99827","Haines","AK",59.279037,-135.6122
"CIPGHZDNWLK2",2,38,FALSE,4,3,"Single","22732","Radiant","VA",38.310141,-78.20098
"CIPGHZRFPHW8",2,37,FALSE,1,1,"Single","83632","Indian Valley","ID",44.554347,-116.4388
"CIPGHZPGH395",2,39,FALSE,5,2,"Single","75436","Detroit","TX",33.670159,-95.2609
"CIPGHZRH63C0",2,71,FALSE,5,2,"Single","68955","Juniata","NE",40.595599,-98.53981
"CIPGHZRHC9K2",1,41,FALSE,5,7,"Married","02561","Sagamore","MA",41.770254,-70.533664
"CIPGHZRK2FF0",2,56,FALSE,5,6,"Single","27983","Windsor","NC",36.015391,-76.9349
"CIPGHZRJ5JR6",1,66,FALSE,5,1,"Single","32141","Edgewater","FL",28.944915,-80.89524
"CIPGHZRJNPM0",2,33,FALSE,5,1,"Married","87523","Cordova","NM",36.005591,-105.903255
"CIPGHZRNWJK8",2,71,FALSE,1,4,"Married","02121","Boston","MA",42.307448,-71.08127
"CIPGHZRPDH43",1,34,FALSE,5,7,"Single","55715","Buhl","MN",47.494762,-92.780293
"CIPGHZRPT5L2",1,45,TRUE,5,6,"Married","91186","Pasadena","CA",33.786594,-118.298662
"CIPGHZRQVJR3",2,66,FALSE,5,4,"Married","29336","Fairforest","SC",34.888237,-81.96902
