"StoreID","Longitude","Latitude","StoreName","Address","City","State","Phone.Number","POSInstalled","OwnershipStatus","TransactionTotal"
15,-149.732719,61.192846,"McDonalds PlayPlace-Anchorage,AK","3035 Muldoon Rd"," Anchorage","AK"," (907) 338-7377","Installed","Franchise",1924412.642
16,-149.571145,61.327034,"McDonalds PlayPlace-Eagle River,AK","11808 Old Glenn Hwy"," Eagle River","AK"," (907) 694-4500","Installed","Franchise",1335126.933
17,-147.759108,64.837296,"McDonalds PlayPlace-Fairbanks,AK","1930 Airport Way"," Fairbanks","AK"," (907) 452-4600","Installed","Franchise",1671705.546
18,-147.696614,64.859384,"McDonalds PlayPlace-Fairbanks,AK","449 Harold Bentley Ave"," Fairbanks","AK"," (907) 451-0770","Old-school","Owned",1997700.368
19,-147.820117,64.848734,"McDonalds PlayPlace-Fairbanks,AK","3905 Geist Rd"," Fairbanks","AK"," (907) 474-2010","Installed","Franchise",2314269.724
20,-151.523064,59.642696,"McDonalds-Homer,AK","3656 Ben Walters Ln"," Homer","AK"," (907) 235-5400","Installed","Franchise",1336675.486
21,-151.235906,60.559838,"McDonalds PlayPlace-Kenai,AK","10447 Kenai Spur Hwy"," Kenai","AK"," (907) 283-4008","Installed","Franchise",2090635.226
22,-147.351417,64.758068,"McDonalds PlayPlace-North Pole,AK","352 N Santa Claus Ln"," North Pole","AK"," (907) 488-7779","Old-school","Owned",1536337.798
23,-149.123657,61.599019,"McDonalds-Palmer,AK","600 W Daron Dr"," Palmer","AK"," (907) 746-0335","Installed","Franchise",1673660.948
24,-151.071002,60.48309,"McDonalds-Soldotna,AK","44420 Sterling Hwy"," Soldotna","AK"," (907) 262-1074","Installed","Franchise",1539137.526
25,-149.364088,61.569269,"McDonalds [WM]-Wasilla,AK","1350 S Seward Meridian [WM]"," Wasilla","AK"," (907) 373-2523","Installed","Franchise",2177027.787
26,-149.430898,61.581432,"McDonalds PlayPlace-Wasilla,AK","801 E Parks Hwy"," Wasilla","AK"," (907) 376-4433","Installed","Franchise",1799028.853
27,-86.96323,33.61071,"McDonalds PlayPlace-Adamsville,AL","5721 Veterans Memorial Pkwy"," Adamsville","AL"," (205) 674-7288","Old-school","Owned",1621195.238
28,-86.805218,33.228322,"McDonalds-Alabaster,AL","205 S Colonial Dr"," Alabaster","AL"," (205) 621-2805","Installed","Franchise",1698609.026
29,-86.81177,33.26258,"McDonalds PlayPlace-Alabaster,AL","1499 1st St N"," Alabaster","AL"," (205) 664-3761","Installed","Franchise",989694.1003
30,-86.20708,34.2767,"McDonalds PlayPlace-Albertville,AL","7375 Us Hwy 431"," Albertville","AL"," (256) 878-6755","Old-school","Owned",1441546.194
31,-85.95846,32.92119,"McDonalds PlayPlace-Alexander City,AL","4094 Highway 280"," Alexander City","AL"," (256) 329-1283","Installed","Franchise",1985076.531
32,-86.39416,34.11883,"McDonalds-Altoona,AL","87134 Us Hwy 278"," Altoona","AL"," (205) 466-5211","Installed","Franchise",2179703.567
33,-86.51839,31.27594,"McDonalds-Andalusia,AL","315 W Byp"," Andalusia","AL"," (334) 222-7875","Installed","Franchise",2342082.394
34,-85.82663,33.66911,"McDonalds PlayPlace-Anniston,AL","1901 Quintard Ave"," Anniston","AL"," (256) 236-5224","Installed","Franchise",1889307.222
35,-85.81804,33.71946,"McDonalds PlayPlace-Anniston,AL","5550 Mcclellan Blvd"," Anniston","AL"," (256) 820-0038","Old-school","Owned",2089376.187
36,-85.78884,33.6291,"McDonalds PlayPlace-Anniston,AL","3424 Greenbrier Dear Dr"," Anniston","AL"," (256) 832-4543","Installed","Franchise",2604765.804
37,-86.50283,34.32584,"McDonalds PlayPlace-Arab,AL","700 N Brandlee Pkwy"," Arab","AL"," (256) 586-8792","Old-school","Owned",1238559.462
38,-86.84025,34.99181,"McDonalds PlayPlace-Ardmore,AL","26862 Main St"," Ardmore","AL"," (256) 423-3663","Old-school","Owned",2047613.808
39,-85.82625,33.27559,"McDonalds PlayPlace-Ashland,AL","83690 Hwy 9"," Ashland","AL"," (256) 354-2339","Installed","Franchise",1595095.003
40,-86.95088,34.80485,"McDonalds-Athens,AL","103 Us 31 N"," Athens","AL"," (256) 233-1275","Old-school","Owned",2381061.921
41,-86.93826,34.78282,"McDonalds PlayPlace-Athens,AL","1529 Us 72 E"," Athens","AL"," (256) 232-1927","Installed","Franchise",1739687.664
42,-87.49385,31.00651,"McDonalds PlayPlace-Atmore,AL","1414 S Main St"," Atmore","AL"," (251) 368-2267","Installed","Franchise",1529825.015
43,-86.07735,34.01812,"McDonalds PlayPlace-Attalla,AL","610 Cleveland Ave"," Attalla","AL"," (256) 538-1107","Old-school","Franchise",1978506.916
44,-85.48354,32.60663,"McDonalds-Auburn,AL","224 West Magnolia Ave"," Auburn","AL"," (334) 821-7185","Installed","Franchise",1650692.569
45,-85.5052,32.56097,"McDonalds PlayPlace-Auburn,AL","2372 College St"," Auburn","AL"," (334) 502-8900","Installed","Franchise",1722791.081
46,-85.44573,32.62495,"McDonalds PlayPlace-Auburn,AL","1634 Opelika Hwy"," Auburn","AL"," (334) 821-5303","Installed","Franchise",1862064.809
47,-87.78384,30.87913,"McDonalds-Bay Minette,AL","98 McMeans Ave"," Bay Minette","AL"," (251) 937-2611","Old-school","Owned",1653181.519
48,-86.92224,33.33711,"McDonalds-Bessemer,AL","1195 Greenmor Dr"," Bessemer","AL"," (205) 425-6200","Old-school","Owned",1961563.634
49,-86.9986,33.36264,"McDonalds PlayPlace-Bessemer,AL","765 Academy Dr"," Bessemer","AL"," (205) 425-4727","Old-school","Franchise",1881564.206
50,-86.96937,33.39583,"McDonalds PlayPlace-Bessemer,AL","911 9th Ave N"," Bessemer","AL"," (205) 428-9768","Installed","Franchise",1841698.468
51,-86.603996,33.620972,"McDonalds [WM]-Birmingham,AL","5919 Trussville Crossing [WM]"," Birmingham","AL"," (205) 661-0225","Old-school","Owned",1242198.875
52,-86.68185,33.41874,"McDonalds [WM]-Birmingham,AL","Hwy US 280 [WM]"," Birmingham","AL"," (205) 980-4948","Installed","Franchise",1963641.602
53,-86.69884,33.5886,"McDonalds [WM]-Birmingham,AL","9248 Parkway E [WM]"," Birmingham","AL"," (205) 833-9665","Old-school","Owned",1930944.387
54,-86.84708,33.50003,"McDonalds-Birmingham,AL","732 Lomb Ave Sw"," Birmingham","AL"," (205) 787-6245","Old-school","Owned",2285732.309
55,-86.8397,33.48048,"McDonalds-Birmingham,AL","801 Dennison Ave"," Birmingham","AL"," (205) 323-5387","Installed","Franchise",1939722.505
56,-86.82769,33.54057,"McDonalds-Birmingham,AL","1700 Finley Blvd"," Birmingham","AL"," (205) 254-3646","Old-school","Owned",1942489.781
57,-86.81908,33.55394,"McDonalds-Birmingham,AL","3220 26th St N"," Birmingham","AL"," (205) 324-8945","Old-school","Owned",2125163.468
58,-86.807791,33.504646,"McDonalds-Birmingham,AL","1501 5th Ave S"," Birmingham","AL"," (205) 933-1650","Old-school","Franchise",1767184.831
59,-86.80019,33.53363,"McDonalds-Birmingham,AL","3013 12th Ave N"," Birmingham","AL"," (205) 324-5005","Installed","Franchise",1813257.931
60,-86.79087,33.49071,"McDonalds-Birmingham,AL","2001 Montgomery Hwy"," Birmingham","AL"," (205) 930-9777","Installed","Franchise",1868513.338
61,-86.78817,33.50977,"McDonalds-Birmingham,AL","2733 8th Ave"," Birmingham","AL"," (205) 324-5892","Installed","Franchise",1793890.79
62,-86.74863,33.54354,"McDonalds-Birmingham,AL","5904 1st Ave N"," Birmingham","AL"," (205) 592-2671","Installed","Owned",2397353.031
63,-86.68365,33.63668,"McDonalds-Birmingham,AL","1907 Center Point Rd"," Birmingham","AL"," (205) 854-4362","Old-school","Owned",1791421.931
64,-86.89285,33.56157,"McDonalds PlayPlace-Birmingham,AL","1309 Forestdale Blvd"," Birmingham","AL"," (205) 798-2896","Installed","Owned",1779875.521
65,-86.87868,33.4953,"McDonalds PlayPlace-Birmingham,AL","2201 Bessemer Hwy"," Birmingham","AL"," (205) 780-5841","Old-school","Owned",2308389.728
66,-86.73994,33.38369,"McDonalds PlayPlace-Birmingham,AL","2640 Valleydale Rd"," Birmingham","AL"," (205) 408-7448","Installed","Franchise",2200939.638
67,-86.7215,33.52553,"McDonalds PlayPlace-Birmingham,AL","1569 Montclair Rd"," Birmingham","AL"," (205) 956-9666","Old-school","Franchise",2112349.845
68,-86.811501,33.52029,"McDonalds PlayPlace-Birmingham,AL","4625 Hwy 280 S"," Birmingham","AL"," (205) 991-3086","Installed","Franchise",2285259.81
69,-86.69656,33.58819,"McDonalds PlayPlace-Birmingham,AL","200 Gadsden Rd"," Birmingham","AL"," (205) 833-5149","Installed","Owned",2025428.157
70,-86.15069,34.19869,"McDonalds PlayPlace-Boaz,AL","861 Us Hwy 431 S"," Boaz","AL"," (256) 593-1015","Installed","Franchise",1567292.486
71,-87.07977,31.09949,"McDonalds PlayPlace-Brewton,AL","464 South Blvd"," Brewton","AL"," (251) 867-4540","Old-school","Owned",1999429.699
72,-86.952764,33.42752,"McDonalds-Brighton,AL","3633 Jaybird Rd"," Brighton","AL"," (205) 428-3837","Installed","Franchise",1967670.364
73,-86.74985,33.14685,"McDonalds PlayPlace-Calera,AL","706 Supercenter Dr"," Calera","AL"," (205) 668-7588","Installed","Franchise",2524691.154
74,-85.66817,34.16015,"McDonalds PlayPlace-Centre,AL","650 Cedar Bluff Rd"," Centre","AL"," (256) 927-4200","Installed","Franchise",2129134.207
75,-87.14207,32.94485,"McDonalds PlayPlace-Centreville,AL","187 Walnut St"," Centreville","AL"," (205) 926-6186","Installed","Owned",2242741.999
76,-86.63385,33.34814,"McDonalds PlayPlace-Chelsea,AL","16758 Us Hwy 280"," Chelsea","AL"," (205) 678-0505","Installed","Franchise",2358808.733
77,-86.35069,33.26488,"McDonalds PlayPlace-Childersburg,AL","33785 Us Hwy 280"," Childersburg","AL"," (256) 378-5977","Old-school","Owned",2387541.251
78,-86.60887,32.81881,"McDonalds-Clanton,AL","1415 7th St S"," Clanton","AL"," (205) 280-0159","Old-school","Owned",2102733.89
79,-86.57607,32.8011,"McDonalds PlayPlace-Clanton,AL","2250 7th St S"," Clanton","AL"," (205) 755-8411","Installed","Franchise",2178116.08
80,-86.615891,33.179848,"McDonalds PlayPlace-Columbiana,AL","301 W College St"," Columbiana","AL"," (205) 669-7710","Installed","Franchise",1782561.947
81,-87.44804,33.17606,"McDonalds PlayPlace-Cottondale,AL","6501 Interstate Ln"," Cottondale","AL"," (205) 507-0700","Installed","Franchise",2074258.97
82,-86.87543,34.20702,"McDonalds-Cullman,AL","6065 Al Highway 157"," Cullman","AL"," (256) 734-4258","Installed","Franchise",2178691.481
83,-86.83668,34.1629,"McDonalds-Cullman,AL","1425 2nd Ave Sw"," Cullman","AL"," (256) 734-4073","Installed","Franchise",1699518.385
84,-85.73031,32.82105,"McDonalds PlayPlace-Dadeville,AL","17956 Highway 280"," Dadeville","AL"," (256) 825-8744","Installed","Franchise",1984714.668
85,-85.71279,31.30934,"McDonalds-Daleville,AL","575 N Daleville Ave"," Daleville","AL"," (334) 598-6072","Installed","Franchise",2427828.636
86,-87.91231,30.6496,"McDonalds-Daphne,AL","29138 Us 98"," Daphne","AL"," (251) 621-3596","Old-school","Owned",2126989.324
87,-87.901512,30.603901,"McDonalds-Daphne,AL","29919 Woodrow Lane"," Daphne","AL"," (251) 626-9909","Installed","Franchise",1473168.15
88,-87.01302,34.57255,"McDonalds-Decatur,AL","2225 Danville Rd Sw"," Decatur","AL"," (256) 350-7083","Old-school","Owned",2409714.21
89,-86.98017,34.5892,"McDonalds-Decatur,AL","1208 6th Ave Se"," Decatur","AL"," (256) 353-8911","Installed","Owned",1870053.104
90,-86.9087,34.5359,"McDonalds PlayPlace-Decatur,AL","3342 Point Mallard Pky Se"," Decatur","AL"," (256) 584-6886","Installed","Franchise",2151340.593
91,-87.83765,32.50487,"McDonalds PlayPlace-Demopolis,AL","1111 Walnut St"," Demopolis","AL"," (334) 289-3069","Installed","Franchise",2045586.177
92,-86.883972,34.041569,"McDonalds-Dodge City,AL","231 Hwy 69 S"," Dodge City","AL"," (256) 287-9543","Installed","Owned",1663611.368
93,-87.065994,33.759327,"McDonalds PlayPlace-Dora,AL","2445 Hwy 78"," Dora","AL"," (205) 648-3673","Installed","Franchise",1335518.479
94,-85.4002,31.22511,"McDonalds-Dothan,AL","619 W Main St"," Dothan","AL"," (334) 793-1625","Old-school","Owned",2049212.72
95,-85.39758,31.18968,"McDonalds-Dothan,AL","2101 Ross Clark Cir"," Dothan","AL"," (334) 794-0221","Old-school","Owned",2034841.394
96,-85.36078,31.21709,"McDonalds-Dothan,AL","1081 Ross Clark Cir"," Dothan","AL"," (334) 677-0779","Old-school","Franchise",1659589.264
97,-85.42768,31.24592,"McDonalds PlayPlace-Dothan,AL","3520 Ross Clark Cir"," Dothan","AL"," (334) 792-0313","Installed","Owned",2316638.38
98,-85.38914,31.25415,"McDonalds PlayPlace-Dothan,AL","2251 Reeves St"," Dothan","AL"," (334) 702-8338","Old-school","Owned",1530132.949
99,-86.90779,33.49959,"McDonalds PlayPlace-Ensley,AL","3520 Avenue E"," Ensley","AL"," (205) 780-4146","Old-school","Owned",2037106.481
100,-85.86459,31.33361,"McDonalds [WM]-Enterprise,AL","600 Boll Weevil Circle [WM]"," Enterprise","AL"," (334) 393-6679","Old-school","Owned",2048232.853
101,-85.86223,31.33399,"McDonalds PlayPlace-Enterprise,AL","652 US Hwy 84 Byp"," Enterprise","AL"," (334) 347-3417","Old-school","Owned",1663440.737
102,-85.15626,31.87114,"McDonalds PlayPlace-Eufaula,AL","1250 S Eufaula Ave"," Eufaula","AL"," (334) 687-6686","Old-school","Owned",2245915.872
103,-86.897,31.4491,"McDonalds-Evergreen,AL","Route 2 Box 294"," Evergreen","AL"," (251) 578-3797","Installed","Owned",2095437.685
104,-87.8863,30.52552,"McDonalds-Fairhope,AL","111 N Greeno Rd"," Fairhope","AL"," (251) 990-8833","Installed","Franchise",1754732.101
105,-87.852127,30.523479,"McDonalds-Fairhope,AL","10040 Country Rd 48"," Fairhope","AL"," (251) 990-7882","Installed","Franchise",1835916.464
106,-86.894122,34.36811,"McDonalds-Falkville,AL","64 E Pike Road"," Falkville","AL"," (256) 784-9661","Old-school","Owned",1448785.923
107,-87.82667,33.70342,"McDonalds PlayPlace-Fayette,AL","1421 Temple Ave N"," Fayette","AL"," (205) 932-8882","Installed","Franchise",1136498.432
108,-87.69026,34.8485,"McDonalds-Florence,AL","3183 Cloverdale Rd"," Florence","AL"," (256) 740-6797","Installed","Franchise",2028783.732
109,-87.68051,34.81668,"McDonalds-Florence,AL","1155 N Wood Ave"," Florence","AL"," (256) 766-9550","Old-school","Franchise",1237603.756
110,-87.63136,34.83678,"McDonalds-Florence,AL","306 Cox Creek Pwky"," Florence","AL"," (256) 764-2800","Old-school","Owned",1985417.11
111,-87.65596,34.82007,"McDonalds PlayPlace-Florence,AL","1505 Florence Blvd"," Florence","AL"," (256) 766-4341","Old-school","Franchise",1772311.532
112,-87.68354,30.38288,"McDonalds [WM]-Foley,AL","2200 S McKenzie St [WM]"," Foley","AL"," (251) 943-1717","Installed","Franchise",1686758.63
113,-87.68345,30.39556,"McDonalds PlayPlace-Foley,AL","1010 S McKenzie St"," Foley","AL"," (251) 943-6960","Old-school","Franchise",1655837.381
114,-85.73339,34.43265,"McDonalds PlayPlace-Fort Payne,AL","205 Glenn Blvd Sw"," Fort Payne","AL"," (256) 845-0127","Installed","Franchise",2198714.434
115,-86.806039,33.608079,"McDonalds-Fultondale,AL","239 Howell St"," Fultondale","AL"," (205) 841-0002","Installed","Franchise",1816078.062
116,-86.02071,34.0218,"McDonalds-Gadsden,AL","200 N 12th St"," Gadsden","AL"," (256) 547-0393","Old-school","Owned",2273001.011
117,-86.00417,33.99859,"McDonalds PlayPlace-Gadsden,AL","952 Rainbow Dr"," Gadsden","AL"," (256) 547-0284","Installed","Owned",1984672.855
118,-86.82485,33.64791,"McDonalds [WM]-Gardendale,AL","890 Odum Rd [WM]"," Gardendale","AL"," (205) 608-1877","Old-school","Owned",1994995.38
119,-86.80991,33.65229,"McDonalds PlayPlace-Gardendale,AL","1017 Decatur Hwy"," Gardendale","AL"," (205) 631-5459","Installed","Franchise",1717580.416
120,-85.89048,31.04801,"McDonalds-Geneva,AL","1205 W Maple Ave"," Geneva","AL"," (334) 684-6409","Installed","Franchise",1979402.447
121,-85.94155,33.96533,"McDonalds PlayPlace-Glencoe,AL","616 Chastain Blvd W"," Glencoe","AL"," (256) 492-7682","Installed","Owned",1914828.507
122,-88.335,30.499005,"McDonalds-Grand Bay,AL","9200 Grand Bay Wilmer Rd"," Grand Bay","AL"," (251) 865-2088","Installed","Franchise",2030782.133
123,-87.59289,32.69857,"McDonalds PlayPlace-Greensboro,AL","1401 State St"," Greensboro","AL"," (334) 624-5600","Old-school","Owned",1380593.703
124,-86.62656,31.84747,"McDonalds PlayPlace-Greenville,AL","112 Greenville Byp"," Greenville","AL"," (334) 382-2007","Installed","Franchise",1933765.851
125,-87.68707,30.27394,"McDonalds PlayPlace-Gulf Shores,AL","2000 Gulfshores Pky"," Gulf Shores","AL"," (251) 967-3700","Installed","Franchise",2208727.911
126,-86.30841,34.34159,"McDonalds PlayPlace-Guntersville,AL","1745 Gunter Ave"," Guntersville","AL"," (256) 582-2805","Installed","Franchise",1805485.059
127,-87.62164,34.22679,"McDonalds PlayPlace-Haleyville,AL","2006 11th Ave"," Haleyville","AL"," (205) 486-5859","Installed","Franchise",1919801.822
128,-87.98852,34.14236,"McDonalds PlayPlace-Hamilton,AL","Hwy 78 Military St S"," Hamilton","AL"," (205) 921-4323","Old-school","Owned",1891015.191
129,-86.77715,34.07177,"McDonalds-Hanceville,AL","740 N Main St"," Hanceville","AL"," (256) 352-2120","Installed","Franchise",2086843.738
130,-86.94225,34.4419,"McDonalds-Hartselle,AL","201 Highway 31 S"," Hartselle","AL"," (256) 773-7760","Installed","Franchise",2007228.081
131,-86.57167,34.9329,"McDonalds PlayPlace-Hazel Green,AL","14267 Us 231"," Hazel Green","AL"," (256) 828-2846","Installed","Franchise",2504225.017
132,-86.85214,33.28043,"McDonalds PlayPlace-Helena,AL","7210 Wyndham Pky"," Helena","AL"," (205) 620-6679","Installed","Franchise",2009815.507
133,-86.82125,33.45143,"McDonalds PlayPlace-Homewood,AL","124 State Farm Pky"," Homewood","AL"," (205) 917-3700","Installed","Owned",2135378.994
134,-86.818177,33.46043,"McDonalds PlayPlace-Homewood,AL","818 Green Springs Rd"," Homewood","AL"," (205) 942-5681","Installed","Franchise",1706125.38
135,-86.735138,34.856041,"McDonalds [WM]-Hoover,AL","2780 John Hawkins Pkwy[WM]"," Hoover","AL"," (205) 982-1700","Old-school","Owned",2117654.268
136,-86.81104,33.37859,"McDonalds-Hoover,AL","2000 Riverchase Galleria"," Hoover","AL"," (205) 444-1405","Installed","Owned",2080146.911
137,-86.80634,33.40702,"McDonalds PlayPlace-Hoover,AL","1547 Montgomery Hwy"," Hoover","AL"," (205) 979-2386","Old-school","Franchise",1960970.838
138,-86.80488,33.37999,"McDonalds PlayPlace-Hoover,AL","1731 Montgomery Hwy S"," Hoover","AL"," (205) 987-8263","Installed","Owned",1946566.074
139,-86.99437,33.442429,"McDonalds [WM]-Hueytown,AL","1007 Red Farmer Rd [WM]"," Hueytown","AL"," (205) 744-9002","Installed","Owned",1754287.174
140,-86.98547,33.45089,"McDonalds PlayPlace-Hueytown,AL","3069 Allison Bonnett Memorial Dr"," Hueytown","AL"," (205) 491-5951","Installed","Franchise",1787357.833
141,-86.6746,34.74357,"McDonalds-Huntsville,AL","6100 University Dr NW"," Huntsville","AL"," (256) 895-0143","Installed","Franchise",1408221.132
142,-86.62762,34.73516,"McDonalds-Huntsville,AL","4002 University Dr"," Huntsville","AL"," (256) 837-3970","Installed","Franchise",1542922.888
143,-86.590453,34.708824,"McDonalds-Huntsville,AL","2704 S Memorial Parkway"," Huntsville","AL"," (256) 535-6064","Old-school","Franchise",2250992.254
144,-86.57852,34.79073,"McDonalds-Huntsville,AL","4965 N Memorial Pky"," Huntsville","AL"," (256) 859-9001","Installed","Owned",2061508.124
145,-86.57458,34.7195,"McDonalds-Huntsville,AL","310 Governors Dr Se"," Huntsville","AL"," (256) 534-1031","Old-school","Owned",2015660.356
146,-86.48648,34.8204,"McDonalds-Huntsville,AL","2234 Winchester Rd Ne"," Huntsville","AL"," (256) 382-2342","Old-school","Franchise",1636830.66
147,-86.59232,34.75792,"McDonalds PlayPlace-Huntsville,AL","2600 Memorial Pky Nw"," Huntsville","AL"," (256) 852-5730","Installed","Franchise",1640902.511
148,-86.5684,34.69376,"McDonalds PlayPlace-Huntsville,AL","4810 Whitesburg Dr S"," Huntsville","AL"," (256) 880-3763","Installed","Franchise",2074396.748
149,-86.56644,34.64399,"McDonalds PlayPlace-Huntsville,AL","10031 S Memorial Pky"," Huntsville","AL"," (256) 883-9050","Old-school","Franchise",2400624.259
150,-86.52631,34.77308,"McDonalds PlayPlace-Huntsville,AL","1795 Us 72 E"," Huntsville","AL"," (256) 859-1630","Old-school","Owned",1825991.937
151,-86.69401,33.53329,"McDonalds PlayPlace-Irondale,AL","734 Grants Mill Rd"," Irondale","AL"," (205) 956-3312","Installed","Franchise",1496501.002
152,-88.246094,30.428543,"McDonalds-Irvington,AL","8660 Hwy 188"," Irvington","AL"," (251) 824-1810","Installed","Franchise",2155019.052
153,-87.88919,31.53514,"McDonalds PlayPlace-Jackson,AL","2425 College Ave"," Jackson","AL"," (251) 246-5044","Installed","Franchise",2379928.119
154,-85.76141,33.81646,"McDonalds-Jacksonville,AL","312 Pelham Rd N"," Jacksonville","AL"," (256) 435-1354","Old-school","Franchise",1910334.985
155,-87.25401,33.84472,"McDonalds [WM]-Jasper,AL","1801 Highway 78 E[WM]"," Jasper","AL"," (205) 302-0010","Old-school","Franchise",2466131.386
156,-87.26926,33.8488,"McDonalds PlayPlace-Jasper,AL","600 Hwy 78 East"," Jasper","AL"," (205) 221-9777","Installed","Franchise",2379110.995
157,-86.74355,32.95955,"McDonalds PlayPlace-Jemison,AL","24712 Us Hwy 31"," Jemison","AL"," (205) 688-1141","Installed","Franchise",2364272.84
158,-87.55506,34.85576,"McDonalds-Killen,AL","1001 Hwy 72"," Killen","AL"," (256) 757-4040","Old-school","Owned",1939021.751
159,-86.52365,33.55922,"McDonalds PlayPlace-Leeds,AL","1724 Ashville Rd NE"," Leeds","AL"," (205) 699-7080","Installed","Owned",2503004.329
160,-86.12521,33.58746,"McDonalds PlayPlace-Lincoln,AL","75280 Al Highway 77"," Lincoln","AL"," (205) 763-0930","Installed","Franchise",2130386.037
161,-87.76073,30.6421,"McDonalds-Loxley,AL","12593 N Hickory St"," Loxley","AL"," (251) 964-4155","Old-school","Owned",1664686.293
162,-86.2665,31.7441,"McDonalds PlayPlace-Luverne,AL","US Hwy 331"," Luverne","AL"," (334) 335-5235","Old-school","Franchise",2177671.885
163,-86.74937,34.75208,"McDonalds PlayPlace-Madison,AL","8005 Us 72 W"," Madison","AL"," (256) 722-9584","Old-school","Owned",1901150.325
164,-86.74903,34.67751,"McDonalds PlayPlace-Madison,AL","8841 Madison Blvd"," Madison","AL"," (256) 772-0099","Installed","Franchise",1990466.338
165,-86.99999,33.33018,"McDonalds PlayPlace-McCalla,AL","4746 Eastern Valley Rd"," McCalla","AL"," (205) 477-1003","Old-school","Owned",1412263.057
166,-86.9219,33.45682,"McDonalds-Midfield,AL","11 Phillips Dr"," Midfield","AL"," (205) 923-9802","Installed","Franchise",2330666.116
167,-86.37408,32.5179,"McDonalds-Millbrook,AL","Hwy 143 & Deatsville Rd"," Millbrook","AL"," (334) 285-6112","Old-school","Owned",1870497.072
168,-86.372022,32.519107,"McDonalds PlayPlace-Millbrook,AL","3755 Hwy 14"," Millbrook","AL"," (334) 285-4554","Old-school","Owned",1440475.654
169,-88.224823,30.640946,"McDonalds-Mobile,AL","2415 Schillinger Rd S"," Mobile","AL"," (251) 634-1378","Installed","Franchise",1647264.899
170,-88.19085,30.66001,"McDonalds-Mobile,AL","1400 Hillcrest Rd"," Mobile","AL"," (251) 607-0014","Installed","Franchise",2376625.72
171,-88.17148,30.68937,"McDonalds-Mobile,AL","5601 Old Shell Rd"," Mobile","AL"," (251) 342-8172","Installed","Franchise",2139705.45
172,-88.12365,30.68865,"McDonalds-Mobile,AL","2 Springdale Blvd"," Mobile","AL"," (251) 471-1508","Installed","Owned",2082790.508
173,-88.12353,30.67623,"McDonalds-Mobile,AL","3424 Bel Air Mall"," Mobile","AL"," (251) 471-4636","Old-school","Franchise",2177920.194
174,-88.11351,30.7007,"McDonalds-Mobile,AL","3119 Mofft Rd"," Mobile","AL"," (251) 473-3160","Installed","Franchise",1727794.417
175,-88.08391,30.72131,"McDonalds-Mobile,AL","2291 St Stephens Rd"," Mobile","AL"," (251) 452-1207","Installed","Franchise",2060631.061
176,-88.04988,30.68756,"McDonalds-Mobile,AL","658 Government Blvd"," Mobile","AL"," (251) 433-8573","Installed","Owned",1922999.761
177,-88.126536,30.68458,"McDonalds-Mobile,AL","101 S Beltline Hwy"," Mobile","AL"," (251) 471-9003","Old-school","Franchise",1846984.091
178,-88.053238,30.68639,"McDonalds-Mobile,AL","7749 Moffet Rd"," Mobile","AL"," (251) 649-2215","Installed","Owned",1837500.063
